query_length,avg_word_length,lexical_diversity,noun_ratio,verb_ratio,adjective_ratio,entity_count,idf_mean,idf_max,rare_term_ratio,embedding_norm,embedding_mean,embedding_std,query_entropy,bm25_weight,dense_weight
3,7.333,1.0,0.667,0.333,0.0,0,3.676,5.066,0.667,1.0,0.000652,0.051027,1.585,0.0,1.0
3,7.333,1.0,0.667,0.333,0.0,0,3.676,5.066,0.667,1.0,0.000891,0.051023,1.585,0.0,1.0
2,8.0,1.0,1.0,0.0,0.0,0,3.328,5.066,0.5,1.0,0.000624,0.051027,1.0,0.0,1.0
3,5.333,1.0,1.0,0.0,0.0,1,3.929,5.066,0.667,1.0,0.000443,0.051029,1.585,0.5,0.5
3,6.667,1.0,0.667,0.333,0.0,0,3.175,5.066,0.333,1.0,0.000488,0.051029,1.585,0.5,0.5
3,9.0,1.0,0.0,0.667,0.333,0,4.151,5.472,0.667,1.0,-0.000104,0.051031,1.585,0.5,0.5
2,8.0,1.0,0.0,1.0,0.0,0,3.491,5.066,0.5,1.0,-8.3e-05,0.051031,1.0,0.5,0.5
3,7.0,1.0,0.333,0.333,0.333,0,3.161,5.066,0.333,1.0,-0.000337,0.05103,1.585,0.5,0.5
2,11.0,1.0,0.0,0.5,0.5,0,5.269,5.472,0.5,1.0,0.000196,0.051031,1.0,0.5,0.5
3,9.667,1.0,0.333,0.333,0.333,0,5.031,5.472,0.667,1.0,0.000192,0.051031,1.585,0.5,0.5
2,9.5,1.0,0.5,0.5,0.0,0,3.974,4.778,0.5,1.0,0.000985,0.051022,1.0,0.5,0.5
3,8.0,1.0,0.667,0.0,0.333,0,4.168,4.778,0.667,1.0,0.001207,0.051017,1.585,0.5,0.5
3,10.333,0.667,0.667,0.333,0.0,0,3.706,4.778,0.333,1.0,0.000843,0.051024,0.918,0.5,0.5
3,8.333,1.0,1.0,0.0,0.0,0,4.091,4.778,0.667,1.0,0.000498,0.051029,1.585,0.5,0.5
2,9.5,1.0,1.0,0.0,0.0,0,3.974,4.778,0.5,1.0,0.000916,0.051023,1.0,0.5,0.5
2,6.0,1.0,1.0,0.0,0.0,0,4.667,4.778,0.5,1.0,0.001009,0.051021,1.0,0.5,0.5
3,5.667,1.0,0.667,0.333,0.0,0,4.434,4.778,0.667,1.0,0.000438,0.051029,1.585,0.5,0.5
3,5.0,1.0,1.0,0.0,0.0,0,4.704,4.778,0.667,1.0,0.000881,0.051023,1.585,0.5,0.5
2,8.0,1.0,0.5,0.0,0.5,0,3.477,3.68,0.5,1.0,-7e-05,0.051031,1.0,0.0,1.0
3,8.0,1.0,0.667,0.0,0.333,0,4.874,5.066,0.333,1.0,0.00097,0.051022,1.585,0.5,0.5
3,5.667,1.0,1.0,0.0,0.0,0,4.569,4.778,0.333,1.0,0.000883,0.051023,1.585,0.5,0.5
2,6.0,1.0,1.0,0.0,0.0,0,4.667,4.778,0.5,1.0,0.001009,0.051021,1.0,0.5,0.5
3,6.667,1.0,1.0,0.0,0.0,0,4.399,4.778,0.667,1.0,0.000717,0.051026,1.585,0.5,0.5
3,5.667,1.0,0.667,0.0,0.333,0,4.569,4.778,0.333,1.0,0.000734,0.051026,1.585,0.5,0.5
